Frequency(THz)	DOS_TS(raw)	DOS_TF(raw)	DOS_L(raw)	FDOS_TS	FDOS_TF	FDOS_L
0.000000	472.834327	313.754424	127.424984	0.517316	0.343271	0.139413
0.026816	462.824815	358.028081	158.226591	0.472714	0.365678	0.161608
0.053631	478.259410	394.205397	186.234953	0.451742	0.372349	0.175909
0.080447	516.041897	422.792299	208.666469	0.449709	0.368446	0.181844
0.107262	571.287032	446.321209	223.826333	0.460183	0.359521	0.180297
0.134078	638.604854	468.498563	231.542256	0.477053	0.349980	0.172968
0.160894	713.378350	493.162873	233.132640	0.495514	0.342552	0.161934
0.187709	792.649214	523.424040	230.948322	0.512371	0.338343	0.149286
0.214525	875.294314	561.177448	227.695161	0.525965	0.337212	0.136822
0.241340	961.400740	606.981140	225.800694	0.535843	0.338305	0.125852
0.268156	1051.108571	660.169459	227.020401	0.542284	0.340592	0.117124
0.294972	1143.540168	719.082041	232.343846	0.545851	0.343243	0.110906
0.321787	1236.514914	781.360244	242.135618	0.547128	0.345733	0.107139
0.348603	1327.368579	844.324180	256.381218	0.546676	0.347734	0.105590
0.375418	1414.465177	905.441895	274.910431	0.545112	0.348942	0.105946
0.402234	1498.363333	962.841930	297.517956	0.543137	0.349017	0.107846
0.429050	1581.613406	1015.747550	323.964626	0.541403	0.347701	0.110896
0.455865	1666.983668	1064.678383	353.899680	0.540253	0.345052	0.114695
0.482681	1755.095763	1111.302133	386.777759	0.539502	0.341605	0.118892
0.509496	1843.149065	1157.920260	421.841916	0.538474	0.338285	0.123241
0.536312	1925.992418	1206.707570	458.206682	0.536353	0.336045	0.127602
0.563128	1999.361808	1258.952037	495.019649	0.532690	0.335422	0.131888
0.589943	2063.515832	1314.600552	531.633367	0.527787	0.336236	0.135976
0.616759	2124.861561	1372.349359	567.706027	0.522732	0.337608	0.139660
0.643574	2194.033866	1430.304002	603.179710	0.518989	0.338332	0.142679
0.670390	2280.878265	1486.943070	638.148501	0.517679	0.337484	0.144837
0.697206	2388.747979	1541.914945	672.693584	0.518914	0.334954	0.146131
0.724021	2511.263303	1596.240871	706.785783	0.521627	0.331563	0.146810
0.750837	2633.677337	1651.816347	740.312004	0.524031	0.328667	0.147302
0.777652	2738.724232	1710.518559	773.192302	0.524415	0.327533	0.148052
0.804468	2814.493415	1773.457972	805.486856	0.521837	0.328818	0.149346
0.831284	2860.710027	1840.782294	837.409224	0.516476	0.332337	0.151187
0.858099	2890.396018	1912.037708	869.254331	0.509618	0.337120	0.153262
0.884915	2925.900647	1986.713874	901.328197	0.503256	0.341715	0.155029
0.911730	2990.717917	2064.525699	933.943186	0.499353	0.344709	0.155938
0.938546	3100.261112	2145.256237	967.430113	0.499000	0.345288	0.155712
0.965362	3255.185246	2228.372449	1002.040108	0.501910	0.343588	0.154502
0.992177	3439.898427	2312.819442	1037.684221	0.506582	0.340601	0.152816
1.018993	3627.024934	2397.254465	1073.663437	0.510997	0.337739	0.151264
1.045808	3786.454362	2480.626576	1108.691360	0.513364	0.336321	0.150315
1.072624	3895.951574	2562.731305	1141.412642	0.512619	0.337197	0.150184
1.099440	3949.704174	2644.390836	1171.266969	0.508631	0.340537	0.150832
1.126255	3961.903297	2727.203948	1199.180027	0.502251	0.345728	0.152020
1.153071	3964.221940	2813.128948	1227.499057	0.495228	0.351428	0.153344
1.179886	3998.121084	2904.239398	1258.968190	0.489886	0.355854	0.154260
1.206702	4104.405402	3002.761681	1295.166771	0.488484	0.357372	0.154144
1.233518	4312.873498	3111.161675	1335.299377	0.492375	0.355182	0.152443
1.260333	4634.407693	3231.894618	1376.180600	0.501425	0.349678	0.148897
1.287149	5057.001087	3366.624077	1413.670018	0.514064	0.342231	0.143705
1.313964	5546.510852	3515.137733	1445.003579	0.527905	0.334563	0.137532
1.340780	6052.360321	3674.541721	1470.903388	0.540495	0.328148	0.131356
1.367596	6517.610805	3839.340905	1496.349394	0.549856	0.323905	0.126239
1.394411	6891.554909	4002.657995	1529.461670	0.554711	0.322180	0.123109
1.421227	7141.630874	4158.282312	1578.782500	0.554531	0.322881	0.122589
1.448042	7260.933581	4302.758028	1649.974676	0.549502	0.325629	0.124869
1.474858	7268.653504	4436.587938	1743.264120	0.540480	0.329894	0.129625
